title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Ready for the procession to start at Commencement 1975,Ready for the 1975 Commencement procession to start.,1975,yes,"commencement, processions",Academics,Commencement,46.726077,-117.010963,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-192,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2626,2626,2627.jp2,/pg2/image/2627.jp2,pg22626
J.R. Simplot receives an honorary Doctor of Administrative Science degree,"J.R. Simplot, chairman of the board and founder of J.R. Simplot Co., receives an honorary Doctor of Administrative Science degree during the 1975 Commencement ceremony.",1975,yes,"commencement, honoraria",Academics,Commencement,46.726551,-117.014155,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-193,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2627,2627,2628.jp2,/pg2/image/2628.jp2,pg22627
Honorary degree recipients with University of Idaho President Ernest W. Hartung,"Honorary degree recipients with President Ernest W. Hartung for the 1976 Commencement. From left: Dr. Ernest W. Hartung, Arthur Troutner, Governor Cecil Andrus, John Corlett, Verna Johanneson Hitchcock, Dr. Malcolm M. Renfrew.",1976,yes,"commencement, honoraria",Academics,Commencement,46.727272,-117.017364,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-194,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2628,2628,2629.jp2,/pg2/image/2629.jp2,pg22628
Clifford Dobler and Jim Bikkie at Commencement,Clifford Dobler and Jim Bikkie at the 1976 Commencement.,1976,yes,commencement,Academics,Commencement,46.726403,-117.017160,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-195,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2629,2629,2630.jp2,/pg2/image/2630.jp2,pg22629
Clifford Dobler at Commencement,Clifford Dobler at the 1976 Commencement.,1976,yes,commencement,Academics,Commencement,46.726187,-117.017758,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-196,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2630,2630,2631.jp2,/pg2/image/2631.jp2,pg22630
Unidentified graduate at Commencement,Unidentified graduate at the 1976 Commencement ceremony.,1976,yes,"commencement, graduates",Academics,Commencement,46.726237,-117.017482,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-197,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2631,2631,2632.jp2,/pg2/image/2632.jp2,pg22631
John Corlett and Governor Cecil D. Andrus at Commencement,"John Corlett and Governor Cecil D. Andrus, recipients of honorary Doctorate degrees, dressed in their caps and gowns for the 1976 Commencement ceremony.",1976,yes,"commencement, graduate",Academics,Commencement,46.726363,-117.018651,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-198,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2632,2632,2633.jp2,/pg2/image/2633.jp2,pg22632
Dr. Malcolm M. Renfrew receiving an honorary Doctor of Science degree,Dr. Malcolm M. Renfrew receiving an honorary Doctor of Science degree during the 1976 Commencement ceremony.,1976,yes,"commencement, honoraria",Academics,Commencement,46.726583,-117.017278,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",109-199,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,image;stillimage,image/jpg,eng,2018-05-18,2018-05-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2633,2633,2634.jp2,/pg2/image/2634.jp2,pg22633
Freshman-Sophomore Hulme fight [06],A large crowd of students gathers on the Administration lawn during the Hulme fights.,1926,yes,students; campuses; science,Academics,Hulme Fight,46.726557,-117.010444,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,089-10,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-27,2017-10-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/585,585,586.jp2,/pg2/image/586.jp2,pg2585
Group photo of the golf team,"Golf team members stand on the golf course with their gear. Individuals identified from right to left: Bill Holzer, Charles Taylor, Sunday Provenzano, Bob Smith, Stan Jones, Rudy Franklin.",1943,,golf; group portrait,Athletics,Golf,46.722753,-117.016356,Hodgin's Photography Studio,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",240-04,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white film negative,image;stillimage,image/jpg,eng,2018-02-02,2018-02-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1357,1357,1358.jp2,/pg2/image/1358.jp2,pg21357
